ID,Sentence EN,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
5,"Because of this slight transience, 'soap bubble' has become a metaphor for something that is attractive, yet devoid of content and substance.",11.22636363636364,14.19045454545455,13.58990440909091,53.75954545454549,14.254545454545454,53.81818181818181,12.486832980505138,7.0,9.751790909090909,5.2272727272727275,1.5454545454545454,22.0,1.0,0.9545454545454546,115.0,34.0,22.0,21.0,1.0,1.0,7.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
993,"This separated all areas of daily life into black and white: schools, churches, public buildings, buses and trains, even toilets and sinks.",11.22636363636364,13.548181818181817,12.788106545454546,53.75954545454549,10.618181818181819,44.72727272727273,8.477225575051662,5.0,11.187245454545454,5.090909090909091,1.5454545454545454,22.0,1.0,0.9090909090909091,112.0,34.0,22.0,20.0,1.0,1.0,5.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
74,Hippocrates was a well-known proponent of cold water treatments.,8.370000000000001,9.004000000000001,12.9916634,52.865000000000016,8.0,40.0,8.477225575051662,3.0,8.8695,5.4,1.7,10.0,1.0,1.0,54.0,17.0,10.0,10.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,"In non-volcanic areas, subsurface temperatures can vary widely.",12.831111111111113,10.806666666666665,15.537509666666669,19.100000000000016,16.933333333333334,42.333333333333336,12.486832980505138,3.0,16.364011111111115,5.888888888888889,2.111111111111111,9.0,1.0,1.0,53.0,19.0,9.0,9.0,1.0,1.0,3.0,3.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
691,Churchill's paternal grandfather belonged to the British aristocracy as Duke of Marlborough.,12.172307692307694,13.692307692307686,17.654653615384618,30.94769230769233,17.50769230769231,66.84615384615384,13.954451150103322,7.0,13.998223076923077,6.076923076923077,1.9230769230769231,13.0,1.0,1.0,79.0,25.0,13.0,13.0,1.0,1.0,7.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Often they contained only a wash basin at waist height.,4.830000000000002,4.765000000000001,7.6997975000000025,78.24500000000003,8.0,20.0,8.477225575051662,1.0,7.2905,4.5,1.4,10.0,1.0,1.0,45.0,14.0,10.0,10.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,"Other polyhedra have different types of possible landing surfaces, which makes theirLanding probabilities can be distinguished.",15.334117647058822,17.546470588235294,20.504862470588236,15.403529411764733,20.917647058823533,64.05882352941177,16.41640786499874,8.0,11.910288235294118,6.470588235294118,2.0588235294117645,17.0,1.0,1.0,110.0,35.0,17.0,17.0,1.0,1.0,8.0,6.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,"Also, many people were not honored with the Nobel Peace Prize who deserved it in the public perception.",7.818888888888889,9.55,9.994762888888893,71.06500000000003,13.866666666666667,34.66666666666667,12.486832980505138,3.0,8.03818888888889,4.666666666666667,1.3888888888888888,18.0,1.0,0.9444444444444444,84.0,25.0,18.0,17.0,1.0,1.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
682,"With his refusal to enter into negotiations with Hitler, and with his speeches, he strengthened the British will to resist during the critical months of the spring and summer of 1940.",12.867741935483874,16.86032258064516,11.695659548387102,58.02161290322582,17.561290322580646,50.35483870967742,13.954451150103322,6.0,10.267648387096774,4.838709677419355,1.3870967741935485,31.0,1.0,0.7741935483870968,150.0,43.0,31.0,24.0,1.0,1.0,6.0,4.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
347,Some changes in the environment that affect humans and ecosystems together are already noticeable.,14.312857142857148,13.829999999999998,17.364924857142853,17.382142857142874,19.885714285714286,56.857142857142854,15.24744871391589,6.0,11.098042857142858,6.0,2.0714285714285716,14.0,1.0,1.0,84.0,29.0,14.0,14.0,1.0,1.0,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
